"childid","schoolid","classid","sex","minority","mathkind","mathgain","ses"
"1034","92","248","F","Mnrt=Yes",460,45,-0.14
"1035","92","248","M","Mnrt=Yes",433,67,0
"1036","92","248","F","Mnrt=Yes",438,75,-0.03
"1037","92","248","M","Mnrt=No",477,58,0.02
"1038","92","248","F","Mnrt=Yes",443,97,-0.14
"1039","93","123","F","Mnrt=No",483,63,0.65
"1040","93","123","M","Mnrt=No",476,31,0.54
"1041","93","123","M","Mnrt=No",542,58,0.11
"1042","93","123","F","Mnrt=No",495,37,0.36
"1043","93","123","M","Mnrt=No",492,54,1.28
"1044","93","123","M","Mnrt=Yes",502,30,0.08
"1045","93","123","F","Mnrt=No",524,34,0.41
"1046","93","123","F","Mnrt=Yes",465,51,-1.35
"1047","93","126","M","Mnrt=No",532,-6,-0.03
"1048","93","126","M","Mnrt=No",534,28,-0.03
"1049","93","126","F","Mnrt=No",468,43,0.62
"1050","93","126","M","Mnrt=No",489,14,0.02
"1051","93","126","M","Mnrt=No",482,48,0.41
"1052","93","126","M","Mnrt=Yes",493,28,0.67
"1053","93","182","F","Mnrt=No",460,72,0.69
"1054","93","182","F","Mnrt=Yes",480,51,0.08
"1055","93","182","F","Mnrt=Yes",499,78,0.02
"1056","93","182","F","Mnrt=No",531,59,0.42
"1057","93","182","M","Mnrt=No",509,34,0
"1058","93","194","F","Mnrt=No",517,42,0.01
"1059","93","194","F","Mnrt=No",532,30,-0.13
"1060","94","134","M","Mnrt=Yes",471,83,-0.08
"1061","94","134","F","Mnrt=Yes",464,92,0.44
"1062","94","134","F","Mnrt=Yes",485,97,0.13
"1063","94","134","M","Mnrt=Yes",470,125,0.55
"1064","94","224","M","Mnrt=Yes",430,58,0.12
"1065","94","224","M","Mnrt=Yes",478,44,0.33
"1066","94","224","F","Mnrt=Yes",459,42,-0.03
"1067","94","224","M","Mnrt=Yes",452,63,-0.87
"1068","94","224","F","Mnrt=Yes",500,74,-0.05
"1069","94","282","F","Mnrt=Yes",386,72,-0.25
"1070","94","282","M","Mnrt=Yes",367,112,0.23
"1071","94","306","F","Mnrt=Yes",426,109,-0.23
"1072","94","306","F","Mnrt=Yes",410,121,0.61
"1073","94","306","F","Mnrt=No",428,95,-0.25
"1074","94","306","F","Mnrt=Yes",476,51,-1.06
"1075","95","140","F","Mnrt=Yes",523,43,1.36
"1076","95","140","F","Mnrt=Yes",488,51,0.73
"1077","95","144","M","Mnrt=No",500,35,-0.33
"1078","95","144","F","Mnrt=Yes",290,203,-0.32
"1079","95","144","F","Mnrt=No",539,5,0.33
"1080","96","109","F","Mnrt=No",447,43,-0.45
"1081","96","109","M","Mnrt=Yes",427,70,-0.2
"1082","96","109","F","Mnrt=Yes",453,40,0.35
"1083","96","109","F","Mnrt=Yes",494,43,-0.45
"1084","96","185","F","Mnrt=Yes",501,12,0.32
"1085","96","237","M","Mnrt=Yes",463,53,0.15
"1086","96","237","F","Mnrt=Yes",459,52,-0.23
"1087","96","237","F","Mnrt=Yes",458,56,-0.65
"1088","97","75","F","Mnrt=Yes",441,85,0.04
"1089","97","75","M","Mnrt=Yes",421,108,-0.26
"1090","97","75","F","Mnrt=Yes",498,98,0.5
"1091","97","75","M","Mnrt=No",456,16,-1.09
"1092","97","75","M","Mnrt=No",551,8,0.46
"1093","97","75","M","Mnrt=No",458,80,0.94
"1094","98","221","F","Mnrt=Yes",461,37,0.89
"1095","98","221","M","Mnrt=Yes",398,61,-0.65
"1096","99","205","F","Mnrt=Yes",390,89,-0.42
"1097","99","205","M","Mnrt=Yes",463,72,-0.81
"1098","99","205","M","Mnrt=Yes",479,78,-0.52
"1099","99","205","M","Mnrt=Yes",505,45,-0.53
"1100","99","205","F","Mnrt=Yes",440,49,0.18
"1101","99","205","M","Mnrt=Yes",523,20,-0.03
"1102","99","205","F","Mnrt=No",448,43,-0.15
"1103","99","205","F","Mnrt=Yes",507,14,0.44
"1104","99","205","F","Mnrt=Yes",413,89,-0.43
"1105","99","214","F","Mnrt=Yes",385,24,-0.73
"1106","99","226","F","Mnrt=Yes",448,45,-0.03
"1107","99","226","M","Mnrt=Yes",449,72,-0.03
"1108","99","236","M","Mnrt=Yes",428,114,-0.87
"1109","99","236","M","Mnrt=Yes",431,47,-0.15
"1110","99","266","F","Mnrt=Yes",419,53,-0.79
"1111","99","266","M","Mnrt=Yes",452,17,-0.81
"1112","99","266","M","Mnrt=Yes",472,51,-0.31
"1113","99","266","F","Mnrt=Yes",474,41,-0.27
"1114","99","266","M","Mnrt=Yes",470,24,-0.49
"1115","100","74","M","Mnrt=Yes",456,10,-0.93
"1116","100","99","F","Mnrt=Yes",438,58,0.72
"1117","100","135","M","Mnrt=Yes",461,80,-0.39
"1118","100","135","F","Mnrt=Yes",481,77,-0.11
"1119","100","135","F","Mnrt=Yes",454,116,0.03
"1120","100","135","F","Mnrt=Yes",499,82,-0.03
"1121","100","135","F","Mnrt=Yes",513,28,-0.36
"1122","100","135","M","Mnrt=Yes",488,51,-0.83
"1123","100","135","F","Mnrt=Yes",456,69,-0.03
"1124","100","281","F","Mnrt=Yes",476,41,-1.19
"1125","100","281","F","Mnrt=Yes",483,86,-0.35
"1126","100","281","M","Mnrt=Yes",504,35,1.37
"1127","100","281","F","Mnrt=Yes",488,69,-0.9
"1128","101","68","M","Mnrt=No",440,13,-0.93
"1129","101","68","F","Mnrt=Yes",479,49,0.77
"1130","101","68","M","Mnrt=Yes",494,87,-0.34
"1131","101","68","M","Mnrt=No",532,0,0.34
"1132","101","138","M","Mnrt=No",490,91,-0.64
"1133","101","138","M","Mnrt=Yes",440,74,-0.03
"1134","101","138","M","Mnrt=Yes",370,69,-0.63
"1135","101","138","F","Mnrt=Yes",434,69,0.27
"1136","101","138","F","Mnrt=No",429,88,-0.36
"1137","101","215","M","Mnrt=Yes",483,38,0.94
"1138","101","215","F","Mnrt=No",486,20,-0.17
"1139","101","273","M","Mnrt=Yes",411,87,-0.42
"1140","101","273","M","Mnrt=No",504,43,0.74
"1141","101","273","M","Mnrt=Yes",484,74,0
"1142","101","273","F","Mnrt=Yes",372,118,0.18
"1143","101","273","M","Mnrt=No",458,105,-0.2
"1144","102","44","F","Mnrt=Yes",490,3,1.32
"1145","102","44","M","Mnrt=Yes",496,25,-1.19
"1146","102","44","M","Mnrt=Yes",376,11,0.62
"1147","102","44","F","Mnrt=Yes",490,54,-1.05
"1148","102","44","F","Mnrt=Yes",462,75,-0.62
"1149","102","44","M","Mnrt=Yes",412,55,0.7
"1150","102","241","F","Mnrt=Yes",406,129,-0.49
"1151","102","241","M","Mnrt=Yes",488,87,-0.34
"1152","102","241","F","Mnrt=Yes",437,37,-0.17
"1153","102","241","F","Mnrt=Yes",465,54,-0.72
"1154","102","241","M","Mnrt=Yes",462,58,-0.18
"1155","103","37","M","Mnrt=Yes",455,71,0.29
"1156","103","193","M","Mnrt=Yes",431,107,-0.03
"1157","103","193","M","Mnrt=Yes",458,55,1.81
"1158","103","247","M","Mnrt=Yes",290,191,-0.52
"1159","103","247","M","Mnrt=Yes",474,87,0.22
"1160","103","247","F","Mnrt=Yes",453,95,0.18
"1161","103","247","M","Mnrt=Yes",436,116,0.84
"1162","103","247","F","Mnrt=Yes",421,77,0.95
"1163","104","60","M","Mnrt=No",502,85,1.82
"1164","104","60","M","Mnrt=Yes",423,51,-0.28
"1165","104","60","F","Mnrt=No",451,61,-1.03
"1166","104","129","M","Mnrt=No",403,138,0.98
"1167","104","129","F","Mnrt=Yes",477,95,-0.03
"1168","104","129","F","Mnrt=Yes",410,96,-0.49
"1169","105","33","F","Mnrt=No",405,95,0.49
"1170","105","33","M","Mnrt=Yes",449,32,1.73
"1171","105","33","M","Mnrt=Yes",446,17,-0.26
"1172","105","33","M","Mnrt=No",432,105,0.23
"1173","105","200","F","Mnrt=No",461,73,2.33
"1174","105","200","F","Mnrt=No",523,51,-0.69
"1175","105","200","M","Mnrt=Yes",448,71,-0.13
"1176","105","200","M","Mnrt=No",506,70,-0.03
"1177","105","200","F","Mnrt=No",452,67,0.03
"1178","105","200","F","Mnrt=No",478,33,0.33
"1179","106","62","M","Mnrt=Yes",547,-4,-0.21
"1180","106","62","M","Mnrt=Yes",506,23,-0.6
"1181","107","96","F","Mnrt=Yes",421,38,-1.52
"1182","107","96","F","Mnrt=No",448,57,0.4
"1183","107","96","F","Mnrt=No",521,30,2.04
"1184","107","96","F","Mnrt=No",443,85,0.98
"1185","107","96","F","Mnrt=No",422,56,-0.24
"1186","107","96","F","Mnrt=No",502,47,0.16
"1187","107","96","F","Mnrt=No",474,19,-1.02
"1188","107","96","M","Mnrt=No",485,37,1.3
"1189","107","239","M","Mnrt=No",473,44,-0.03
"1190","107","239","F","Mnrt=No",453,69,-0.37
